Phylum,Deep_May,Deep_September,Shallow_May,Shallow_September
Acidobacteriota,9840,8156,7681.5,6837
Actinobacteriota,336139,385255,834379.5,1476968
Armatimonadota,0,3243,0,20961
Bacteroidota,166063,137116.5,1012125.5,570468
Bdellovibrionota,20443,19454.5,9623.5,19647
Chloroflexi,391859,335486,257714.5,51769
Crenarchaeota,2277,0,0,0
Cyanobacteria,0,13624,5437,565574
Desulfobacterota,4739,5963,0,3102
Firmicutes,0,2276.5,0,0
Gemmatimonadota,6589,2879.5,11687.5,5074
Myxococcota,0,5336,0,7266
Nitrospirota,5833,16056.5,0,0
Patescibacteria,6733,4324,3337,0
Planctomycetota,39469,82981.5,35114,158170
Proteobacteria,848453,493955.5,1130403.5,2219756
Verrucomicrobiota,250698,245554.5,296749.5,582037
